name	x	y	z	size
C3	n/a	n/a	n/a	n/a
C4	n/a	n/a	n/a	n/a
CZ	n/a	n/a	n/a	n/a
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
FZ	n/a	n/a	n/a	n/a
LA01	-17.913	-1.55361	-21.30498003	n/a
LA02	-22.4634	-1.89815	-23.86459873	n/a
LA03	-26.6113	-1.61886	-26.61552561	n/a
LA04	-30.7463	-2.27456	-30.64975906	n/a
LA05	-36.9765	-2.06647	-31.11289841	n/a
LA06	-44.8388	-0.751708	-28.18264348	n/a
LA07	-50.5256	0.766244	-28.76653827	n/a
LA08	-55.3777	0.669125	-30.83884294	n/a
LA09	-60.4363	1.06139	-31.64183001	n/a
LA10	-64.5763	2.00371	-33.48890811	n/a
LA11	-70.0528	2.81333	-34.46979828	n/a
LA12	-74.3194	3.60157	-36.34798199	n/a
LB01	-19.5188	-16.3771	-19.66588356	n/a
LB02	-24.0067	-15.7349	-21.55025959	n/a
LB03	-29.5038	-15.8427	-23.69795248	n/a
LB04	-36.0143	-16.416	-25.8241208	n/a
LB05	-42.1298	-15.5791	-25.89443798	n/a
LB06	-47.8641	-14.4626	-25.75845755	n/a
LB07	-53.0236	-14.2972	-27.58052339	n/a
LB08	-58.0962	-12.9801	-28.59859653	n/a
LB09	-62.791	-12.1856	-27.49754357	n/a
LB10	-66.9023	-11.1793	-28.17825011	n/a
LB11	-72.0337	-10.204	-29.1586368	n/a
LB12	-77.1381	-8.60889	-30.23699313	n/a
LC01	-24.4603	-24.4439	-13.36497798	n/a
LC02	-29.4289	-25.066	-13.98904045	n/a
LC03	-33.6125	-26.0602	-15.69131089	n/a
LC04	-38.9634	-26.5739	-16.0908813	n/a
LC05	-45.8124	-25.9015	-16.07510449	n/a
LC06	-50.3215	-25.148	-19.59436405	n/a
LC07	-56.815	-24.1854	-19.44939034	n/a
LC08	-65.1958	-25.0592	-21.55100748	n/a
LC09	-71.1509	-25.3828	-22.07797735	n/a
LC10	-75.9884	-24.9777	-21.53566852	n/a
LC11	-81.3025	-25.2715	-22.59345934	n/a
LC12	-85.9716	-24.9347	-22.62474855	n/a
LD01	-33.2837	-39.1199	-18.65116173	n/a
LD02	-36.2979	-42.8585	-16.88475692	n/a
LD03	-37.5549	-48.022	-14.89696744	n/a
LD04	-39.4421	-53.8115	-13.2077318	n/a
LD05	-44.3014	-57.6044	-7.595401061	n/a
LD06	-47.3396	-61.4044	-2.955279734	n/a
LD07	-50.8433	-63.7366	2.336858457	n/a
LD08	-53.7062	-64.6246	5.365803274	n/a
LD09	-58.1364	-64.6314	8.656015039	n/a
LD10	-61.6796	-66.2269	11.53594906	n/a
LD11	-66.0299	-68.4593	16.27257748	n/a
LD12	-69.373	-70.6801	19.51451777	n/a
LG01	-36.5959	-7.8682	6.091894305	n/a
LG02	-42.4748	-6.39648	6.70223317	n/a
LG03	-47.8814	-4.88874	7.504249644	n/a
